LOAN_ID,MOB,InterestRate,IssuedDate,DTI,State,HomeOwnership,MonthlyIncome,EarliestCREDITLine,OpenCREDITLines,TotalCREDITLines,RevolvingCREDITBalance,RevolvingLineUtilization,Inquiries6M,AccountsDQ,DelinquentAmount,DQ2yrs,MonthsSinceDQ,PublicRec,MonthsSinceLastRec,Education,EmploymentLength,currentpolicy,term,appl_fico_band,vintage,TERM,MFMonth,target,Amount.Requested,LoanPurpose
377437,1,15.31,1/25/2010,23.13,OH,MORTGAGE,5416.67,10/10/1999,12,16,13641,97.4,0,0,0,0,999,1,,,7 years,1,36,680-684,10Q1,36,0010-02-01,0,14000,debt_consolidation
380713,1,15.95,7/31/2010,5.89,FL,MORTGAGE,2083.33,7/18/1994,19,34,11483,29.9,0,0,0,0,999,1,,,10+ years,1,60,685-689,10Q3,60,0010-09-01,0,13000,home_improvement
381025,1,18.3,5/31/2010,22.1,MD,RENT,10883.83,7/25/1986,27,48,71801,67.5,2,0,0,0,999,0,,,7 years,1,36,695-699,10Q2,36,0010-07-01,0,20000,debt_consolidation
381219,1,14.22,3/4/2010,14.28,IL,OWN,2900,3/1/1998,3,4,563,80.4,2,0,0,0,999,0,,,4 years,1,36,685-689,10Q1,36,0010-04-01,0,7350,educational
382096,1,9.88,3/15/2010,2.15,CT,RENT,2833,6/9/2003,9,11,2003,8.9,1,0,0,1,19,0,,Ridgewater College,1 year,1,36,730-734,10Q1,36,0010-04-01,0,9600,small_business
386071,1,16.07,3/5/2010,17.51,MI,RENT,5083.33,2/17/1995,11,19,13834,65.4,1,0,0,1,16,0,,,10+ years,1,36,665-669,10Q1,36,0010-04-01,0,10000,debt_consolidation
391439,1,16.82,2/19/2010,22.57,CA,RENT,13333.33,4/4/2000,25,39,15214,68.7,0,0,0,2,7,0,,,< 1 year,1,36,680-684,10Q1,36,0010-03-01,0,15000,debt_consolidation
391748,1,16.32,11/15/2010,15.76,OH,RENT,6666.67,12/27/1997,5,13,24759,97.1,0,0,0,0,75,0,,,< 1 year,1,60,690-694,10Q4,60,0010-12-01,0,12000,credit_card
391981,1,16.82,2/23/2010,18.41,NJ,RENT,4166.67,9/21/1996,17,32,9246,85.6,2,0,0,0,999,1,,,3 years,1,36,665-669,10Q1,36,0010-03-01,0,19000,debt_consolidation
395561,1,20.86,1/5/2010,20.92,VA,MORTGAGE,9954.17,9/29/1992,14,33,45414,98.3,0,0,0,1,17,0,,"University of Maryland,Central Michigan University",10+ years,1,36,665-669,10Q1,36,0010-02-01,0,24000,credit_card
399980,1,12.18,1/26/2010,3.84,VA,RENT,3750,8/18/2004,4,17,0,0,5,0,0,0,999,0,,,3 years,1,36,750-754,10Q1,36,0010-03-01,0,9600,debt_consolidation
401434,1,13.11,5/27/2010,24.45,CA,RENT,2666.67,5/28/1990,18,34,18252,77,0,0,0,0,999,0,,,10+ years,1,36,685-689,10Q2,36,0010-06-01,0,10000,small_business
403609,1,10.36,11/17/2010,14.63,MA,MORTGAGE,6500,4/2/1978,10,32,2488,46.9,0,0,0,0,999,1,,,4 years,1,36,680-684,10Q4,36,0010-12-01,0,1750,home_improvement
405239,1,13.11,2/16/2010,8.24,CA,RENT,7083.33,4/25/2001,7,9,10670,82.7,0,0,0,0,999,0,,,< 1 year,1,36,695-699,10Q1,36,0010-03-01,0,15000,debt_consolidation
407769,1,9.88,5/14/2010,3.74,CA,MORTGAGE,16666.67,9/17/1990,10,18,12147,67.5,1,0,0,0,999,0,,,7 years,1,36,760-764,10Q2,36,0010-06-01,0,15000,debt_consolidation
410825,1,14.96,2/22/2010,16.28,CO,MORTGAGE,10000,11/20/1990,15,32,73257,60,0,0,0,0,999,0,,Cornell University,10+ years,1,36,700-704,10Q1,36,0010-03-01,0,25000,home_improvement
411477,1,13.92,1/25/2010,16.24,NH,MORTGAGE,6250,9/15/1998,11,30,9950,58.9,3,0,0,0,30,0,,,4 years,1,36,680-684,10Q1,36,0010-02-01,0,14400,debt_consolidation
413357,1,13.85,3/24/2010,17.48,MD,MORTGAGE,6437.33,7/10/1978,12,34,32472,79.8,0,0,0,0,43,0,,,10+ years,1,36,695-699,10Q1,36,0010-04-01,0,21600,debt_consolidation
417906,1,10.99,5/20/2010,22.97,CA,RENT,5166.67,1/16/1996,11,25,25974,79.2,0,0,0,0,999,0,,,5 years,1,36,705-709,10Q2,36,0010-06-01,0,12000,debt_consolidation
418953,1,11.14,1/25/2010,16.09,WI,MORTGAGE,4506.67,2/13/1993,7,27,23569,70.8,0,0,0,0,999,0,,,7 years,1,36,735-739,10Q1,36,0010-02-01,0,13750,debt_consolidation
419640,1,16.49,6/22/2011,17.93,VA,OTHER,2666.67,8/16/2003,10,18,12741,45.7,0,0,0,0,999,1,,,2 years,1,60,700-704,11Q2,60,0011-07-01,0,16000,debt_consolidation
420124,1,10.62,2/2/2010,15.92,MT,RENT,3466.67,11/22/1985,4,7,5455,83.9,0,0,0,0,999,0,,,2 years,1,36,720-724,10Q1,36,0010-03-01,0,11200,debt_consolidation
420363,1,10.99,7/8/2011,16.95,PA,RENT,3416.67,2/2/2005,13,20,8318,50.4,0,0,0,1,7,0,,,3 years,1,36,695-699,11Q3,36,0011-08-01,0,8000,debt_consolidation
420666,1,12.53,1/5/2010,14.1,TX,RENT,5183.42,10/12/2001,7,35,3006,30.7,3,0,0,0,999,0,,,2 years,1,36,695-699,10Q1,36,0010-02-01,0,9000,debt_consolidation
421199,1,13.22,1/25/2010,9.19,MT,MORTGAGE,4583.33,9/19/2003,10,21,8262,54.7,3,0,0,0,999,1,,,3 years,1,36,695-699,10Q1,36,0010-02-01,0,14000,debt_consolidation
421822,1,16.07,1/28/2010,23.85,MO,OTHER,4791.67,3/10/2001,10,27,8373,57,0,0,0,1,23,0,,,1 year,1,36,660-664,10Q1,36,0010-03-01,1,13000,debt_consolidation
422571,1,14.59,4/9/2010,15.45,NJ,RENT,4583,2/9/1998,13,16,9592,36.5,1,0,0,0,999,0,,,8 years,1,36,660-664,10Q2,36,0010-05-01,1,2500,major_purchase
424330,1,12.61,11/10/2010,6.24,NJ,RENT,3750,7/17/2006,10,15,9570,45.4,2,0,0,0,999,0,,,< 1 year,1,36,680-684,10Q4,36,0010-12-01,0,6000,debt_consolidation
427755,1,13.48,2/19/2010,22.25,FL,OWN,2916.67,4/10/1999,8,15,23698,78.7,0,0,0,0,67,0,,,2 years,1,36,685-689,10Q1,36,0010-03-01,0,13200,debt_consolidation
428226,1,10.62,2/23/2010,21.6,CA,RENT,2000,12/26/1996,5,9,6010,41.4,0,0,0,1,16,0,,,4 years,1,36,705-709,10Q1,36,0010-04-01,0,5000,credit_card
431072,1,13.23,9/30/2010,13.33,CA,MORTGAGE,5475,7/17/1992,10,17,30607,46.4,0,0,0,0,999,0,,,10+ years,1,60,720-724,10Q3,60,0010-10-01,0,24000,credit_card
434246,1,14.22,1/29/2010,0.57,MA,OWN,3333.33,12/24/2004,3,13,899,13.2,1,0,0,0,51,0,,University of Massachusetts at Boston,< 1 year,1,36,685-689,10Q1,36,0010-03-01,1,6400,debt_consolidation
435959,1,13.85,3/22/2010,20.44,NY,RENT,4833.33,3/5/1995,18,36,35469,63.7,1,0,0,2,3,0,,Hamilton College-Clinton,2 years,1,36,670-674,10Q1,36,0010-04-01,0,7000,
437558,1,12.73,5/24/2010,7.05,CA,RENT,3333.33,6/12/2004,10,23,1351,12.7,0,0,0,0,28,0,,,4 years,1,36,680-684,10Q2,36,0010-06-01,0,6000,house
437568,1,19.13,1/26/2010,17.28,OK,MORTGAGE,4166.67,2/12/1999,6,33,11132,98.5,1,0,0,1,2,0,,,< 1 year,1,36,675-679,10Q1,36,0010-03-01,1,2000,small_business
438631,1,10.25,3/25/2010,8.63,MD,MORTGAGE,8333.33,3/28/1995,6,14,3315,6,0,0,0,0,999,0,,,< 1 year,1,36,780-784,10Q1,36,0010-04-01,0,24000,debt_consolidation
439829,1,9.25,12/15/2010,1.98,MA,RENT,5350,9/9/2005,4,8,3808,66.8,0,0,0,0,999,0,,,2 years,1,36,715-719,10Q4,36,0011-01-01,0,4000,credit_card
441547,1,13.98,7/21/2010,19.69,WI,RENT,3500,10/5/2004,8,15,5675,72.8,0,0,0,0,999,0,,,n/a,1,36,675-679,10Q3,36,0010-08-01,1,7000,debt_consolidation
442923,1,14.61,1/25/2010,17.43,TX,MORTGAGE,13750,2/17/1998,20,51,114393,46.6,2,0,0,0,999,0,,,< 1 year,1,36,730-734,10Q1,36,0010-02-01,0,10000,small_business
444955,1,16,1/25/2010,9.51,FL,RENT,3900,6/15/2004,2,6,14401,92.9,0,0,0,0,999,0,,"Oxford Polytechnic, Oxfordshire, England",4 years,1,36,685-689,10Q1,36,0010-02-01,0,14000,credit_card
449448,1,10.99,4/6/2010,4.75,CA,RENT,3916.67,2/10/2006,5,7,6620,18.4,0,0,0,0,999,0,,,1 year,1,36,740-744,10Q2,36,0010-05-01,0,13000,wedding
449679,1,12.18,1/22/2010,19.7,MA,MORTGAGE,4833.33,7/3/2001,7,22,7267,46.6,1,0,0,0,999,0,,,10+ years,1,36,710-714,10Q1,36,0010-02-01,0,10400,debt_consolidation
450302,1,11.86,10/4/2010,24.92,MI,MORTGAGE,3354.17,11/27/1999,9,23,4118,60.6,2,0,0,0,999,1,,,5 years,1,36,690-694,10Q4,36,0010-11-01,0,5600,credit_card
450832,1,10.99,5/12/2010,10.29,GA,RENT,5250,7/30/2004,7,7,6651,24.9,1,0,0,0,999,0,,,1 year,1,36,715-719,10Q2,36,0010-06-01,0,18000,debt_consolidation
452088,1,11.36,4/1/2010,6.05,FL,MORTGAGE,8500,6/14/1999,12,33,26247,46.6,1,0,0,0,999,0,,,3 years,1,36,715-719,10Q2,36,0010-05-01,0,20000,debt_consolidation
452910,1,11.12,6/21/2010,16.28,AL,RENT,3333.33,3/1/2000,10,16,12985,35.2,0,0,0,0,999,0,,,3 years,1,60,735-739,10Q2,60,0010-07-01,0,12000,credit_card
454324,1,11.83,1/21/2010,4.87,MA,MORTGAGE,8166.67,8/31/1983,11,26,3142,8.6,3,0,0,0,999,0,,Williams College,3 years,1,36,765-769,10Q1,36,0010-02-01,0,25000,educational
456465,1,10.62,2/17/2010,23.55,NJ,MORTGAGE,3750,6/28/1999,10,20,24931,57.6,1,0,0,0,999,0,,Rutgers University at New Brunswick/Piscataway,2 years,1,36,720-724,10Q1,36,0010-03-01,0,13000,debt_consolidation
458328,1,11.48,1/26/2010,9.92,GA,MORTGAGE,2500,2/2/1967,5,19,452,90.4,0,0,0,0,999,0,,,< 1 year,1,36,745-749,10Q1,36,0010-03-01,1,5000,car
458419,1,13.85,3/18/2010,24.13,NJ,RENT,3985.92,12/7/1989,9,17,11346,60.7,0,0,0,0,999,1,,,8 years,1,36,685-689,10Q1,36,0010-04-01,0,16000,debt_consolidation
458440,1,15.65,1/28/2010,23.65,IL,RENT,6666.67,11/10/2004,9,13,19333,61.2,2,0,0,0,999,0,,,1 year,1,36,670-674,10Q1,36,0010-02-01,0,16800,debt_consolidation
458871,1,14.96,4/20/2010,10.63,FL,RENT,3359.17,11/5/2005,7,9,13313,46.4,0,0,0,0,999,0,,,2 years,1,36,675-679,10Q2,36,0010-05-01,1,12000,debt_consolidation
459312,1,6,1/29/2010,9.98,FL,RENT,7083.33,6/8/1994,8,34,10844,68.6,3,0,0,1,11,0,,,6 years,1,36,675-679,10Q1,36,0010-03-01,1,12500,debt_consolidation
460222,1,12.18,1/22/2010,0.8,CA,RENT,3750,12/24/1996,3,7,150,10,2,0,0,0,999,0,,,< 1 year,1,36,745-749,10Q1,36,0010-02-01,0,8000,major_purchase
460256,1,14.96,2/26/2010,17.24,TX,RENT,8333.33,9/13/1998,10,30,30438,79.4,0,0,0,0,999,0,,,< 1 year,1,36,700-704,10Q1,36,0010-03-01,0,25000,debt_consolidation
460277,1,16.35,1/25/2010,14.45,NJ,MORTGAGE,12500,10/29/2004,6,9,3539,36.5,1,0,0,0,999,0,,"Rennselaer Polytechnic Institute,The Peddie School (High School)",2 years,1,36,715-719,10Q1,36,0010-02-01,1,24000,small_business
461227,1,12.53,1/28/2010,4.72,IL,RENT,1800,10/3/2006,10,13,2638,11.5,2,0,0,0,999,0,,,3 years,1,36,725-729,10Q1,36,0010-02-01,0,10000,wedding
461780,1,14.59,1/29/2010,15.36,NJ,MORTGAGE,10333.33,3/24/1989,16,29,30232,67.3,0,0,0,2,10,0,,,8 years,1,36,670-674,10Q1,36,0010-03-01,0,12000,credit_card
462279,1,13.85,2/19/2010,13.7,WA,RENT,3583.33,10/27/1983,4,17,12606,88.2,0,0,0,0,999,0,,,7 years,1,36,720-724,10Q1,36,0010-03-01,0,24000,debt_consolidation
462538,1,13.22,1/5/2010,10.44,CA,RENT,4166.67,11/17/1994,6,13,22576,82.7,3,0,0,0,999,0,,,6 years,1,36,710-714,10Q1,36,0010-02-01,0,20000,debt_consolidation
463417,1,10.25,2/22/2010,13.98,CA,RENT,3813.33,12/7/1996,8,23,22837,79.3,0,0,0,0,25,0,,,8 years,1,36,725-729,10Q1,36,0010-03-01,0,13650,debt_consolidation
463418,1,10.25,2/22/2010,4.93,CA,MORTGAGE,6000,12/4/1993,5,26,3252,25,1,0,0,0,999,0,,,1 year,1,36,750-754,10Q1,36,0010-03-01,0,16000,credit_card
463442,1,10.99,2/19/2010,17.93,NY,RENT,3921,5/23/2001,7,10,26636,61.6,1,0,0,0,999,0,,,5 years,1,36,720-724,10Q1,36,0010-03-01,0,21250,debt_consolidation
463832,1,11.83,2/19/2010,19.93,CA,RENT,8166.67,8/31/1996,9,24,41347,56.6,2,0,0,0,999,0,,,2 years,1,36,735-739,10Q1,36,0010-03-01,0,20000,debt_consolidation
464514,1,9.88,5/13/2010,6.41,MI,RENT,10000,8/11/2003,10,21,14096,70.1,3,0,0,0,999,0,,,10+ years,1,36,710-714,10Q2,36,0010-06-01,0,6000,educational
464535,1,10.62,4/9/2010,23.14,AR,MORTGAGE,17500,11/6/1984,18,50,68649,45.6,0,0,0,0,999,0,,,10+ years,1,36,745-749,10Q2,36,0010-05-01,0,16000,credit_card
464707,1,13.22,1/26/2010,19.33,CA,RENT,6833.33,10/17/1996,8,30,4556,47,1,0,0,0,999,0,,,10+ years,1,36,700-704,10Q1,36,0010-02-01,0,18000,
464715,1,9.88,3/23/2010,23.28,AZ,MORTGAGE,5666.67,3/7/1999,9,18,2826,18.5,1,0,0,0,47,0,,,3 years,1,36,740-744,10Q1,36,0010-04-01,0,14800,debt_consolidation
465295,1,17.93,6/25/2010,21.6,CA,RENT,10000,5/30/1995,15,25,25420,73.3,0,0,0,0,30,0,,,< 1 year,1,60,660-664,10Q2,60,0010-07-01,0,14400,wedding
465492,1,12.87,1/5/2010,14.34,NV,RENT,5000,11/17/2004,9,19,1068,10.9,0,0,0,0,48,0,,,< 1 year,1,36,685-689,10Q1,36,0010-02-01,0,7200,wedding
465659,1,14.96,5/7/2010,20.54,AZ,RENT,4250,10/24/1999,7,14,17128,99.6,0,0,0,0,999,0,,University of Arizona,n/a,1,36,715-719,10Q2,36,0010-06-01,0,17000,debt_consolidation
465730,1,11.36,2/28/2010,20.19,CO,MORTGAGE,10833.33,2/11/2000,11,34,10288,64.3,0,0,0,0,67,0,,University of Colorado at Boulder,2 years,1,36,700-704,10Q1,36,0010-04-01,0,10000,debt_consolidation
466454,1,11.12,7/12/2010,12.91,WI,MORTGAGE,5958.25,6/13/1985,12,20,13429,18.4,1,0,0,0,999,0,,,10+ years,1,60,760-764,10Q3,60,0010-08-01,0,15000,debt_consolidation
466800,1,11.83,1/4/2010,12.87,RI,RENT,7000,11/30/2003,14,22,14331,37.8,1,0,0,0,999,0,,,3 years,1,36,715-719,10Q1,36,0010-02-01,0,13000,debt_consolidation
467043,1,13.48,2/26/2010,9.17,GA,MORTGAGE,3750,6/9/2000,6,15,10163,61.6,1,0,0,0,999,0,,,4 years,1,36,690-694,10Q1,36,0010-04-01,0,14000,debt_consolidation
468564,1,14.26,1/5/2010,12.71,CT,MORTGAGE,7166.67,7/29/1995,10,17,16799,74.7,1,0,0,1,21,0,,,4 years,1,36,685-689,10Q1,36,0010-02-01,0,16000,credit_card
468754,1,14.96,3/11/2010,19.06,TX,OWN,4732,10/12/1996,13,24,11117,86.2,0,0,0,0,34,0,,,3 years,1,36,670-674,10Q1,36,0010-04-01,0,12000,major_purchase
468987,1,16,1/6/2010,5.12,NY,MORTGAGE,9166.67,1/27/1996,18,22,13486,36,3,0,0,0,73,0,,,< 1 year,1,36,675-679,10Q1,36,0010-02-01,0,25000,home_improvement
468988,1,14.61,1/4/2010,23.2,FL,RENT,3750,2/5/2000,8,17,1498,62.4,1,0,0,0,999,0,,,< 1 year,1,36,660-664,10Q1,36,0010-02-01,0,3000,debt_consolidation
469034,1,12.18,1/12/2010,3.64,NY,RENT,9166.67,8/29/1996,5,15,442,6.9,0,0,0,2,8,0,,,8 years,1,36,715-719,10Q1,36,0010-02-01,0,12000,
469107,1,20.52,1/11/2010,8.12,CT,RENT,2500,11/6/2005,5,7,7327,86.2,2,0,0,0,999,0,,,< 1 year,1,36,675-679,10Q1,36,0010-02-01,1,8000,small_business
469405,1,11.83,1/6/2010,4.57,CA,MORTGAGE,6583.33,9/1/1995,3,6,258,0.7,0,0,0,0,999,0,,,< 1 year,1,36,775-779,10Q1,36,0010-01-01,0,10500,home_improvement
469524,1,11.14,1/4/2010,8.9,TX,OWN,2000,9/21/1997,9,16,6143,56.4,1,0,0,0,999,0,,University of Texas Pan American,< 1 year,1,36,735-739,10Q1,36,0010-01-01,0,6200,debt_consolidation
469777,1,14.61,1/7/2010,20.74,WA,MORTGAGE,11250,9/17/1998,12,24,81023,61.7,0,0,0,0,999,0,,,< 1 year,1,36,745-749,10Q1,36,0010-02-01,0,16000,small_business
469850,1,15.31,1/27/2010,19.88,CA,MORTGAGE,5000,10/27/1996,12,35,31756,79.6,2,0,0,0,34,0,,,9 years,1,36,680-684,10Q1,36,0010-02-01,0,24250,debt_consolidation
469950,1,14.26,1/4/2010,16.38,KY,MORTGAGE,2100,1/16/1999,5,10,1562,57.9,3,0,0,0,999,1,,,< 1 year,1,36,670-674,10Q1,36,0010-02-01,0,6500,home_improvement
469964,1,16,1/11/2010,18.91,TX,MORTGAGE,8333.33,6/2/1992,9,16,30523,66.2,0,0,0,0,999,0,,,10+ years,1,36,665-669,10Q1,36,0010-02-01,0,15000,debt_consolidation
470060,1,12.87,1/11/2010,16.42,DC,OWN,13125,4/13/1990,9,35,47643,82.6,1,0,0,0,999,0,,,6 years,1,36,715-719,10Q1,36,0010-02-01,0,25000,debt_consolidation
470125,1,12.53,2/3/2010,6.9,GA,MORTGAGE,9416.67,8/1/1990,8,16,22180,55.9,2,0,0,1,11,0,,,10+ years,1,36,725-729,10Q1,36,0010-03-01,0,25000,
470194,1,12.87,1/5/2010,10,GA,OWN,6666.67,10/18/2004,9,17,9715,24.6,1,0,0,0,999,0,,Savannah River College,< 1 year,1,36,720-724,10Q1,36,0010-02-01,0,24000,moving
470195,1,10.99,2/9/2010,10.24,CA,MORTGAGE,13333.33,11/15/1995,19,50,38139,41.8,2,0,0,0,999,0,,,4 years,1,36,740-744,10Q1,36,0010-03-01,0,25000,credit_card
470243,1,11.83,1/4/2010,10.89,MI,MORTGAGE,7750,11/8/1983,13,27,60376,47.9,0,0,0,0,999,0,,,10+ years,1,36,755-759,10Q1,36,0010-02-01,0,22500,home_improvement
470284,1,13.11,5/31/2010,2.88,AZ,MORTGAGE,2500,3/15/2006,3,6,607,17.9,0,0,0,0,999,0,,,2 years,1,60,740-744,10Q2,60,0010-07-01,0,8800,major_purchase
470867,1,15.65,1/14/2010,19.14,WA,RENT,1750,8/27/1997,2,13,12741,72.8,0,0,0,0,32,0,,,4 years,1,36,665-669,10Q1,36,0010-02-01,0,4750,credit_card
471052,1,12.53,1/13/2010,21.17,CA,RENT,13333.33,12/19/1994,15,35,78024,66.5,2,0,0,0,999,0,,,< 1 year,1,36,715-719,10Q1,36,0010-02-01,1,20000,debt_consolidation
471162,1,14.26,1/4/2010,24.77,VA,RENT,7837.5,11/16/1999,13,22,17816,70.4,0,0,0,0,27,0,,,7 years,1,36,685-689,10Q1,36,0010-02-01,0,20000,medical
471184,1,12.87,1/4/2010,22.29,NY,RENT,2800,6/26/1996,3,9,12039,88,4,0,0,0,999,0,,,9 years,1,36,765-769,10Q1,36,0010-02-01,0,14000,
471342,1,13.85,1/31/2010,8.16,NY,RENT,5833.33,7/16/2000,12,20,3153,28.9,2,0,0,0,30,0,,,2 years,1,36,695-699,10Q1,36,0010-03-01,0,20000,debt_consolidation
471369,1,13.22,1/11/2010,20.1,CA,RENT,8083.33,1/25/1998,9,15,22245,72.5,2,0,0,0,999,0,,University of California-Davis (UC Davis),3 years,1,36,710-714,10Q1,36,0010-02-01,0,21000,debt_consolidation
471556,1,11.48,1/5/2010,11.14,PA,MORTGAGE,8750,11/27/1993,7,16,8080,23.5,1,0,0,0,999,0,,,3 years,1,36,745-749,10Q1,36,0010-02-01,0,20000,credit_card
471567,1,11.14,1/4/2010,22.08,MD,OWN,4333.33,2/21/1999,8,20,6934,34.2,3,0,0,0,62,0,,,1 year,1,36,730-734,10Q1,36,0010-02-01,0,10000,
471601,1,11.48,1/6/2010,9.12,MD,RENT,5000,4/6/1997,5,18,8715,50.1,0,0,0,1,10,0,,,< 1 year,1,36,710-714,10Q1,36,0010-02-01,0,6000,
471603,1,16.7,1/6/2010,18.81,NY,RENT,6666.67,3/1/2003,8,12,13964,99.7,0,0,0,0,999,1,,,5 years,1,36,680-684,10Q1,36,0010-02-01,0,13750,debt_consolidation
472016,1,11.83,1/7/2010,12.28,MA,OWN,11250,6/12/1990,13,41,19549,52.5,1,0,0,0,999,0,,,< 1 year,1,36,735-739,10Q1,36,0010-02-01,0,17500,major_purchase
472163,1,12.53,1/4/2010,19.21,NY,MORTGAGE,2800,8/22/1999,16,26,7645,41.9,1,0,0,1,18,0,,,1 year,1,36,710-714,10Q1,36,0010-02-01,0,15250,debt_consolidation
472179,1,9.88,2/9/2010,12.91,NJ,OWN,3750,11/15/1995,11,27,808,0.5,2,0,0,1,22,0,,"UNIVERSITY NORTH CAROLINA,BIO FUELS",n/a,1,36,795-799,10Q1,36,0010-03-01,0,15000,
472197,1,12.53,1/4/2010,3.54,GA,MORTGAGE,5416.67,8/6/1996,10,15,9514,27.2,1,0,0,0,72,0,,,2 years,1,36,705-709,10Q1,36,0010-02-01,0,10000,debt_consolidation
472212,1,11.83,1/4/2010,22.94,CA,OWN,12500,7/15/1999,7,11,298,1,1,0,0,0,999,0,,,10+ years,1,36,755-759,10Q1,36,0010-02-01,0,21000,credit_card
472309,1,15.33,3/2/2010,21.68,NY,RENT,3958.33,8/20/2001,9,23,16231,69,1,0,0,1,4,0,,,3 years,1,36,665-669,10Q1,36,0010-04-01,1,11000,debt_consolidation
472349,1,10.25,2/11/2010,4.11,NJ,RENT,3750,5/14/2001,7,8,5081,40,0,0,0,0,999,0,,,4 years,1,36,745-749,10Q1,36,0010-03-01,0,20000,debt_consolidation
472428,1,11.36,3/9/2010,24.74,KY,RENT,3500,3/25/1999,8,48,15449,34.1,0,0,0,0,999,0,,,< 1 year,1,36,710-714,10Q1,36,0010-04-01,0,13750,debt_consolidation
472454,1,13.22,1/6/2010,14.57,AK,MORTGAGE,13000,7/5/1991,10,31,4027,17.4,1,0,0,2,17,0,,,10+ years,1,36,685-689,10Q1,36,0010-02-01,0,10000,credit_card
472516,1,11.83,1/4/2010,5.18,CA,MORTGAGE,10833.33,11/1/1997,9,26,6469,1.1,1,0,0,0,999,0,,"Stanford University,Babson College,Universidad Simon Bolivar",3 years,1,36,770-774,10Q1,36,0010-02-01,0,25000,home_improvement
472531,1,11.14,1/4/2010,2.85,IL,MORTGAGE,6666.67,6/18/2000,5,11,31183,72.5,3,0,0,0,999,0,,,4 years,1,36,755-759,10Q1,36,0010-02-01,0,12000,debt_consolidation
472537,1,12.53,1/4/2010,13.83,NJ,MORTGAGE,5958.33,3/5/2003,8,17,18463,79.2,1,0,0,0,999,0,,,2 years,1,36,690-694,10Q1,36,0010-02-01,0,9250,debt_consolidation
472551,1,12.73,2/28/2010,12.3,CT,RENT,3700,12/4/1999,5,18,15598,66.9,0,0,0,0,37,0,,,3 years,1,36,710-714,10Q1,36,0010-04-01,0,12800,credit_card
